name,type,start_time,duration,"value"
"JTAG","v1frame",0,7.885961281,"Run-Test/Idle"
"JTAG","v1frame",7.885961313,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.885961563,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.885961844,0.000187094,"Test-Logic-Reset"
"JTAG","v1frame",7.886148969,0.00000025,"Run-Test/Idle"
"JTAG","v1frame",7.88614925,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.8861495,0.00000025,"Capture-DR"
"JTAG","v1frame",7.886149781,0.000182469,"Shift-DR
...0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF (672)
...0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF1030AA6D (672)"
"JTAG","v1frame",7.886332281,0.000000375,"Exit1-DR"
"JTAG","v1frame",7.886332688,0.000000406,"Pause-DR"
"JTAG","v1frame",7.886333125,0.00000025,"Exit2-DR"
"JTAG","v1frame",7.886333406,0.000000219,"Update-DR"
"JTAG","v1frame",7.886333656,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.886333937,0.000000219,"Select-IR-Scan"
"JTAG","v1frame",7.886334188,0.004779531,"Test-Logic-Reset"
"JTAG","v1frame",7.89111375,0.000000219,"Run-Test/Idle"
"JTAG","v1frame",7.891114,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.891114281,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.891114563,0.000000219,"Capture-IR"
"JTAG","v1frame",7.891114812,0.000002156,"Shift-IR
0x7F (7)
0x61 (7)"
"JTAG","v1frame",7.891117,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.891117438,0.00000025,"Update-IR"
"JTAG","v1frame",7.891117719,0.000220969,"Run-Test/Idle"
"JTAG","v1frame",7.891338719,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.891338969,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.89133925,0.000000219,"Capture-IR"
"JTAG","v1frame",7.8913395,0.000001656,"Shift-IR
0x10 (5)
0x1F (5)"
"JTAG","v1frame",7.891341188,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.891341625,0.000000219,"Update-IR"
"JTAG","v1frame",7.891341875,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.891342312,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.891342594,0.000000219,"Capture-DR"
"JTAG","v1frame",7.891342844,0.000009125,"Shift-DR
0x00000000 (32)
0x00007071 (32)"
"JTAG","v1frame",7.891352,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.891352438,0.00000025,"Update-DR"
"JTAG","v1frame",7.891352719,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.891353156,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.891353406,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.891353687,0.000000219,"Capture-IR"
"JTAG","v1frame",7.891353937,0.000001656,"Shift-IR
0x11 (5)
0x10 (5)"
"JTAG","v1frame",7.891355625,0.000000375,"Exit1-IR"
"JTAG","v1frame",7.891356031,0.00000025,"Update-IR"
"JTAG","v1frame",7.891356313,0.00020825,"Run-Test/Idle"
"JTAG","v1frame",7.891564594,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.891564875,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.891565156,0.000000219,"Capture-IR"
"JTAG","v1frame",7.891565406,0.000001625,"Shift-IR
0x10 (5)
0x11 (5)"
"JTAG","v1frame",7.891567063,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.8915675,0.00000025,"Update-IR"
"JTAG","v1frame",7.891567781,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.891568219,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.891568469,0.00000025,"Capture-DR"
"JTAG","v1frame",7.89156875,0.000009125,"Shift-DR
0x00000000 (32)
0x00007071 (32)"
"JTAG","v1frame",7.891577906,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.891578344,0.000000219,"Update-DR"
"JTAG","v1frame",7.891578594,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.891579031,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.891579313,0.000000219,"Select-IR-Scan"
"JTAG","v1frame",7.891579562,0.00000025,"Capture-IR"
"JTAG","v1frame",7.891579844,0.000001625,"Shift-IR
0x11 (5)
0x10 (5)"
"JTAG","v1frame",7.8915815,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.891581937,0.00000025,"Update-IR"
"JTAG","v1frame",7.891582219,0.00016425,"Run-Test/Idle"
"JTAG","v1frame",7.8917465,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.891746781,0.000000219,"Select-IR-Scan"
"JTAG","v1frame",7.891747031,0.00000025,"Capture-IR"
"JTAG","v1frame",7.891747312,0.000001625,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.891748969,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.891749406,0.00000025,"Update-IR"
"JTAG","v1frame",7.891749687,0.000000375,"Run-Test/Idle"
"JTAG","v1frame",7.891750094,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.891750375,0.000000219,"Capture-DR"
"JTAG","v1frame",7.891750625,0.000011437,"Shift-DR
0x04000000002 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.891762094,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.891762531,0.00000025,"Update-DR"
"JTAG","v1frame",7.891762812,0.000169844,"Run-Test/Idle"
"JTAG","v1frame",7.891932687,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.891932938,0.00000025,"Capture-DR"
"JTAG","v1frame",7.891933219,0.000011437,"Shift-DR
0x04000000000 (41)
0x04000000003 (41)"
"JTAG","v1frame",7.891944687,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.891945125,0.000000219,"Update-DR"
"JTAG","v1frame",7.891945375,0.000206906,"Run-Test/Idle"
"JTAG","v1frame",7.892152313,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.892152594,0.000000219,"Select-IR-Scan"
"JTAG","v1frame",7.892152844,0.00000025,"Capture-IR"
"JTAG","v1frame",7.892153125,0.000001625,"Shift-IR
0x10 (5)
0x11 (5)"
"JTAG","v1frame",7.892154781,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.892155219,0.000000219,"Update-IR"
"JTAG","v1frame",7.892155469,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.892155906,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.892156188,0.000000219,"Capture-DR"
"JTAG","v1frame",7.892156437,0.000009156,"Shift-DR
0x00010000 (32)
0x00007C71 (32)"
"JTAG","v1frame",7.892165625,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.892166063,0.000000219,"Update-DR"
"JTAG","v1frame",7.892166312,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.89216675,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.892167031,0.000000219,"Select-IR-Scan"
"JTAG","v1frame",7.892167281,0.00000025,"Capture-IR"
"JTAG","v1frame",7.892167563,0.000001625,"Shift-IR
0x11 (5)
0x10 (5)"
"JTAG","v1frame",7.892169219,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.892169656,0.000000219,"Update-IR"
"JTAG","v1frame",7.892169906,0.0001295,"Run-Test/Idle"
"JTAG","v1frame",7.892299438,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.892299719,0.000000219,"Capture-DR"
"JTAG","v1frame",7.892299969,0.000011438,"Shift-DR
0x04000000000 (41)
0x04000000000 (41)"
"JTAG","v1frame",7.892311438,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.892311875,0.00000025,"Update-DR"
"JTAG","v1frame",7.892312156,0.000207344,"Run-Test/Idle"
"JTAG","v1frame",7.892519531,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.892519781,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.892520063,0.000000219,"Capture-IR"
"JTAG","v1frame",7.892520313,0.000001656,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.892522,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.892522438,0.000000219,"Update-IR"
"JTAG","v1frame",7.892522687,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.892523125,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.892523406,0.000000219,"Capture-DR"
"JTAG","v1frame",7.892523656,0.000011438,"Shift-DR
0x04000000006 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.892535125,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.892535562,0.000000219,"Update-DR"
"JTAG","v1frame",7.892535813,0.000183906,"Run-Test/Idle"
"JTAG","v1frame",7.89271975,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.892720031,0.000000219,"Capture-DR"
"JTAG","v1frame",7.892720281,0.000011438,"Shift-DR
0x04000000000 (41)
0x04000000003 (41)"
"JTAG","v1frame",7.89273175,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.892732188,0.00000025,"Update-DR"
"JTAG","v1frame",7.892732469,0.000188125,"Run-Test/Idle"
"JTAG","v1frame",7.892920625,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.892920875,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.892921156,0.00000025,"Capture-IR"
"JTAG","v1frame",7.892921438,0.000001625,"Shift-IR
0x10 (5)
0x11 (5)"
"JTAG","v1frame",7.892923094,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.892923531,0.000000219,"Update-IR"
"JTAG","v1frame",7.892923781,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.892924219,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.8929245,0.000000219,"Capture-DR"
"JTAG","v1frame",7.89292475,0.000009156,"Shift-DR
0x00010000 (32)
0x00007C71 (32)"
